The ability to account for medium layering, internal heating, and phase change due to moisture freezing and thawing is verified against a commercial software GeoStudio. For the verification, the effects of convection (natural and forced) and longwave radiations are neglected. This is the only difference with the presented thermal formulation. Eleven days of measured shortwave radiation serve for the heat flux imposed at the surface. Presented hereafter is the worst case in terms of absolute difference in temperature levels between GeoStudio and the thermal formulation. This case is presented in the form of a table essentially consisting of four columns: the time (in days), the surface temperature calculated with GeoStudio (in degrees Celsius), the surface temperature calculated with the thermal formulation (in degrees Celsius), and for each time step the absolute difference of temperature levels between Geostudio and the thermal formulation. 

Time [days]	Surface temperature with GeoStudio [°C]	Surface temperature with Fortran [°C]	Absolute difference [°C]
4.382	4.212	4.182	0.030
4.385	4.222	4.193	0.029
4.389	4.233	4.205	0.029
4.392	4.246	4.218	0.028
4.396	4.259	4.231	0.027
4.399	4.272	4.245	0.027
4.403	4.287	4.260	0.027
4.406	4.303	4.276	0.027
4.410	4.319	4.292	0.027
4.413	4.336	4.309	0.028
4.417	4.354	4.326	0.028
4.420	4.373	4.345	0.028
4.424	4.392	4.365	0.026
4.427	4.411	4.387	0.025
4.431	4.431	4.409	0.023
4.434	4.453	4.432	0.020
4.438	4.474	4.456	0.018
4.441	4.497	4.481	0.016
4.444	4.521	4.507	0.014
4.448	4.547	4.533	0.013
4.451	4.574	4.561	0.013
4.455	4.602	4.588	0.014
4.458	4.632	4.617	0.015
4.462	4.665	4.648	0.016
4.465	4.699	4.682	0.017
4.469	4.736	4.719	0.017
4.472	4.775	4.756	0.018
4.476	4.815	4.796	0.020
4.479	4.858	4.836	0.021
4.483	4.902	4.878	0.023
4.486	4.947	4.922	0.025
4.490	4.993	4.966	0.027
4.493	5.040	5.012	0.028
4.497	5.087	5.059	0.028
4.500	5.133	5.107	0.027
4.503	5.180	5.155	0.024
4.507	5.225	5.204	0.021
4.510	5.270	5.253	0.016
4.514	5.314	5.303	0.011
4.517	5.357	5.353	0.004
4.521	5.402	5.405	0.003
4.524	5.447	5.456	0.010
4.528	5.493	5.509	0.016
4.531	5.542	5.562	0.020
4.535	5.594	5.616	0.022
4.538	5.649	5.671	0.021
4.542	5.710	5.726	0.016
4.545	5.776	5.792	0.015
4.549	5.849	5.868	0.019
4.552	5.929	5.952	0.023
4.556	6.015	6.041	0.026
4.559	6.108	6.135	0.027
4.563	6.207	6.234	0.027
4.566	6.312	6.337	0.025
4.569	6.421	6.443	0.022
4.573	6.535	6.554	0.019
4.576	6.652	6.668	0.016
4.580	6.771	6.785	0.014
4.583	6.891	6.905	0.014
4.587	7.012	7.020	0.008
4.590	7.131	7.128	0.003
4.594	7.249	7.234	0.015
4.597	7.365	7.339	0.026
4.601	7.478	7.442	0.036
4.604	7.589	7.544	0.045
4.608	7.697	7.646	0.051
4.611	7.803	7.748	0.055
4.615	7.905	7.849	0.056
4.618	8.005	7.951	0.055
4.622	8.103	8.052	0.051
4.625	8.198	8.153	0.045
4.628	8.291	8.250	0.041
4.632	8.382	8.341	0.040
4.635	8.471	8.430	0.041
4.639	8.558	8.516	0.042
4.642	8.643	8.600	0.043
4.646	8.727	8.683	0.044
4.649	8.809	8.764	0.045
4.653	8.890	8.844	0.046
4.656	8.968	8.923	0.046
4.660	9.045	9.000	0.045
4.663	9.121	9.077	0.044
4.667	9.194	9.152	0.042
4.670	9.266	9.225	0.041
4.674	9.337	9.295	0.042
4.677	9.405	9.362	0.043
4.681	9.472	9.428	0.044
4.684	9.538	9.492	0.046
4.688	9.602	9.555	0.047
4.691	9.664	9.616	0.047
4.694	9.724	9.676	0.048
4.698	9.783	9.735	0.048
4.701	9.841	9.793	0.048
4.705	9.896	9.850	0.047
4.708	9.951	9.905	0.046
4.712	10.004	9.959	0.045
4.715	10.055	10.009	0.046
4.719	10.105	10.058	0.047
4.722	10.154	10.106	0.049
4.726	10.201	10.151	0.050
4.729	10.247	10.196	0.051
4.733	10.291	10.239	0.052
4.736	10.334	10.281	0.053
4.740	10.375	10.321	0.054
4.743	10.415	10.361	0.054
4.747	10.452	10.399	0.053
4.750	10.488	10.437	0.052
4.753	10.523	10.471	0.052
4.757	10.555	10.503	0.053
4.760	10.586	10.532	0.054
4.764	10.615	10.559	0.056
4.767	10.642	10.585	0.058
4.771	10.668	10.609	0.059
4.774	10.691	10.631	0.060
4.778	10.713	10.652	0.061
4.781	10.732	10.671	0.061
4.785	10.750	10.689	0.061
4.788	10.766	10.706	0.060
4.792	10.780	10.721	0.059
4.795	10.793	10.734	0.059
4.799	10.803	10.745	0.059
4.802	10.812	10.753	0.059
4.806	10.820	10.759	0.060
4.809	10.825	10.764	0.061
4.813	10.829	10.767	0.061
4.816	10.831	10.769	0.062
4.819	10.831	10.769	0.062
4.823	10.830	10.768	0.062
4.826	10.827	10.765	0.062
4.830	10.823	10.761	0.062
4.833	10.817	10.756	0.061
4.837	10.810	10.749	0.061
4.840	10.801	10.740	0.061
4.844	10.791	10.730	0.061
4.847	10.779	10.718	0.061
4.851	10.766	10.705	0.062
4.854	10.752	10.690	0.062
4.858	10.736	10.674	0.062
4.861	10.719	10.657	0.063
4.865	10.701	10.638	0.063
4.868	10.681	10.619	0.063
4.872	10.660	10.598	0.063
4.875	10.638	10.576	0.062
4.878	10.614	10.552	0.063
4.882	10.589	10.525	0.064
4.885	10.563	10.497	0.066
4.889	10.536	10.468	0.068
4.892	10.507	10.437	0.070
4.896	10.476	10.404	0.072
4.899	10.444	10.371	0.073
4.903	10.410	10.336	0.074
4.906	10.374	10.299	0.075
4.910	10.337	10.261	0.076
4.913	10.298	10.223	0.075
4.917	10.256	10.182	0.074
4.920	10.212	10.140	0.073
4.924	10.167	10.094	0.073
4.927	10.118	10.046	0.072
4.931	10.068	9.997	0.071
4.934	10.016	9.945	0.071
4.938	9.961	9.892	0.069
4.941	9.905	9.837	0.068
4.944	9.848	9.781	0.067
4.948	9.789	9.723	0.066
4.951	9.729	9.664	0.065
4.955	9.669	9.603	0.065
4.958	9.607	9.541	0.066
4.962	9.546	9.481	0.065
4.965	9.484	9.422	0.062
4.969	9.423	9.365	0.058
4.972	9.362	9.307	0.055
4.976	9.302	9.250	0.052
4.979	9.242	9.193	0.049
4.983	9.182	9.135	0.047
4.986	9.123	9.078	0.046
4.990	9.065	9.020	0.045
4.993	9.007	8.961	0.046
4.997	8.950	8.903	0.047
5.000	8.893	8.844	0.049
5.003	8.837	8.787	0.050
5.007	8.782	8.733	0.049
5.010	8.727	8.679	0.048
5.014	8.673	8.626	0.046
5.017	8.619	8.574	0.045
5.021	8.566	8.522	0.043
5.024	8.513	8.471	0.042
5.028	8.461	8.420	0.041
5.031	8.410	8.369	0.041
5.035	8.360	8.319	0.041
5.038	8.310	8.269	0.042
5.042	8.262	8.218	0.044
5.045	8.215	8.171	0.044
5.049	8.168	8.125	0.043
5.052	8.123	8.081	0.042
5.056	8.078	8.038	0.040
5.059	8.035	7.996	0.039
5.063	7.993	7.955	0.038
5.066	7.952	7.915	0.037
5.069	7.912	7.875	0.037
5.073	7.873	7.836	0.037
5.076	7.835	7.798	0.037
5.080	7.798	7.760	0.038
5.083	7.762	7.723	0.039
5.087	7.726	7.687	0.040
5.090	7.692	7.652	0.040
5.094	7.658	7.618	0.040
5.097	7.625	7.585	0.040
5.101	7.593	7.553	0.040
5.104	7.562	7.521	0.040
5.108	7.531	7.490	0.040
5.111	7.500	7.460	0.040
5.115	7.471	7.430	0.040
5.118	7.442	7.401	0.041
5.122	7.413	7.372	0.041
5.125	7.385	7.344	0.041
5.128	7.357	7.316	0.041
5.132	7.330	7.289	0.041
5.135	7.303	7.262	0.041
5.139	7.277	7.236	0.042
5.142	7.251	7.210	0.042
5.146	7.226	7.184	0.042
5.149	7.201	7.159	0.042
5.153	7.176	7.134	0.042
5.156	7.151	7.110	0.042
5.160	7.127	7.085	0.042
5.163	7.103	7.062	0.042
5.167	7.080	7.038	0.042
5.170	7.057	7.015	0.042
5.174	7.034	6.992	0.042
5.177	7.011	6.969	0.042
5.181	6.989	6.947	0.042
5.184	6.967	6.925	0.042
5.188	6.945	6.903	0.042
5.191	6.924	6.882	0.042
5.194	6.903	6.861	0.042
5.198	6.882	6.840	0.042
5.201	6.861	6.819	0.042
5.205	6.840	6.798	0.042
5.208	6.820	6.778	0.042
5.212	6.800	6.758	0.042
5.215	6.780	6.738	0.042
5.219	6.760	6.719	0.042
5.222	6.741	6.699	0.042
5.226	6.721	6.680	0.042
5.229	6.702	6.661	0.041
5.233	6.683	6.642	0.041
5.236	6.665	6.623	0.041
5.240	6.646	6.605	0.041
5.243	6.628	6.587	0.041
5.247	6.610	6.569	0.041
5.250	6.592	6.551	0.041
5.253	6.574	6.533	0.041
5.257	6.557	6.517	0.040
5.260	6.540	6.500	0.040
5.264	6.523	6.484	0.039
5.267	6.507	6.468	0.039
5.271	6.491	6.453	0.038
5.274	6.475	6.437	0.038
5.278	6.460	6.422	0.037
5.281	6.445	6.408	0.037
5.285	6.430	6.393	0.037
5.288	6.416	6.379	0.037
5.292	6.402	6.365	0.037
5.295	6.389	6.352	0.037
5.299	6.376	6.340	0.037
5.302	6.364	6.328	0.036
5.306	6.353	6.318	0.035
5.309	6.342	6.307	0.035
5.313	6.332	6.298	0.034
5.316	6.322	6.288	0.033
5.319	6.313	6.279	0.033
5.323	6.304	6.271	0.033
5.326	6.296	6.263	0.033
5.330	6.289	6.255	0.033
5.333	6.282	6.248	0.034
5.337	6.276	6.242	0.034
5.340	6.270	6.237	0.033
5.344	6.265	6.232	0.033
5.347	6.261	6.229	0.032
5.351	6.257	6.226	0.031
5.354	6.254	6.223	0.031
5.358	6.252	6.221	0.030
5.361	6.250	6.220	0.030
5.365	6.249	6.219	0.030
5.368	6.248	6.219	0.030
5.372	6.249	6.219	0.030
5.375	6.250	6.219	0.031
5.378	6.252	6.221	0.031
5.382	6.254	6.223	0.031
5.385	6.257	6.227	0.031
5.389	6.261	6.231	0.030
5.392	6.265	6.235	0.030
5.396	6.271	6.240	0.030
5.399	6.276	6.246	0.030
5.403	6.283	6.252	0.030
5.406	6.290	6.259	0.030
5.410	6.297	6.267	0.030
5.413	6.305	6.275	0.031
5.417	6.313	6.283	0.031
5.420	6.322	6.292	0.030
5.424	6.331	6.303	0.029
5.427	6.341	6.314	0.027
5.431	6.351	6.326	0.025
5.434	6.362	6.338	0.023
5.438	6.373	6.352	0.022
5.441	6.385	6.366	0.020
5.444	6.398	6.380	0.018
5.448	6.412	6.395	0.017
5.451	6.428	6.411	0.017
5.455	6.444	6.427	0.017
5.458	6.462	6.443	0.019
5.462	6.482	6.463	0.019
5.465	6.503	6.486	0.018
5.469	6.527	6.511	0.016
5.472	6.552	6.537	0.015
5.476	6.579	6.566	0.014
5.479	6.608	6.595	0.013
5.483	6.639	6.626	0.013
5.486	6.671	6.658	0.013
5.490	6.705	6.692	0.013
5.493	6.740	6.727	0.014
5.497	6.777	6.762	0.014
5.500	6.814	6.799	0.015
5.503	6.853	6.836	0.016
5.507	6.891	6.873	0.018
5.510	6.931	6.911	0.020
5.514	6.971	6.948	0.023
5.517	7.011	6.987	0.025
5.521	7.052	7.025	0.026
5.524	7.093	7.065	0.028
5.528	7.133	7.105	0.029
5.531	7.174	7.145	0.029
5.535	7.215	7.187	0.029
5.538	7.256	7.228	0.028
5.542	7.297	7.271	0.027
5.545	7.338	7.312	0.027
5.549	7.379	7.352	0.027
5.552	7.420	7.391	0.028
5.556	7.460	7.430	0.029
5.559	7.500	7.469	0.031
5.563	7.540	7.508	0.031
5.566	7.579	7.547	0.032
5.569	7.619	7.586	0.033
5.573	7.658	7.625	0.033
5.576	7.696	7.664	0.033
5.580	7.735	7.703	0.032
5.583	7.773	7.742	0.031
5.587	7.811	7.785	0.026
5.590	7.848	7.832	0.017
5.594	7.886	7.881	0.005
5.597	7.924	7.932	0.008
5.601	7.964	7.985	0.021
5.604	8.006	8.040	0.034
5.608	8.050	8.096	0.046
5.611	8.098	8.153	0.055
5.615	8.150	8.212	0.061
5.618	8.208	8.271	0.063
5.622	8.272	8.332	0.060
5.625	8.344	8.395	0.051
5.628	8.425	8.469	0.044
5.632	8.515	8.556	0.041
5.635	8.614	8.650	0.036
5.639	8.722	8.752	0.029
5.642	8.838	8.859	0.020
5.646	8.961	8.971	0.009
5.649	9.090	9.088	0.002
5.653	9.223	9.210	0.013
5.656	9.358	9.335	0.023
5.660	9.494	9.465	0.028
5.663	9.628	9.599	0.028
5.667	9.758	9.737	0.021
5.670	9.881	9.857	0.024
5.674	9.997	9.958	0.039
5.677	10.103	10.049	0.054
5.681	10.200	10.133	0.067
5.684	10.288	10.210	0.078
5.688	10.366	10.282	0.084
5.691	10.436	10.350	0.087
5.694	10.499	10.413	0.086
5.698	10.555	10.473	0.082
5.701	10.606	10.530	0.076
5.705	10.653	10.583	0.070
5.708	10.699	10.634	0.065
5.712	10.743	10.687	0.056
5.715	10.790	10.743	0.046
5.719	10.838	10.801	0.037
5.722	10.888	10.858	0.029
5.726	10.941	10.916	0.024
5.729	10.996	10.974	0.021
5.733	11.053	11.032	0.020
5.736	11.111	11.090	0.021
5.740	11.171	11.148	0.023
5.743	11.230	11.205	0.025
5.747	11.290	11.263	0.027
5.750	11.348	11.320	0.028
5.753	11.403	11.371	0.033
5.757	11.456	11.415	0.040
5.760	11.504	11.456	0.049
5.764	11.549	11.493	0.056
5.767	11.590	11.527	0.063
5.771	11.626	11.559	0.068
5.774	11.659	11.588	0.071
5.778	11.688	11.615	0.072
5.781	11.713	11.641	0.072
5.785	11.735	11.664	0.071
5.788	11.754	11.685	0.068
5.792	11.770	11.705	0.065
5.795	11.784	11.722	0.061
5.799	11.796	11.737	0.059
5.802	11.806	11.749	0.057
5.806	11.815	11.759	0.056
5.809	11.823	11.768	0.055
5.813	11.829	11.774	0.055
5.816	11.834	11.779	0.055
5.819	11.837	11.782	0.055
5.823	11.839	11.784	0.055
5.826	11.839	11.784	0.055
5.830	11.838	11.783	0.055
5.833	11.835	11.780	0.055
5.837	11.830	11.774	0.056
5.840	11.823	11.765	0.058
5.844	11.813	11.754	0.060
5.847	11.802	11.740	0.062
5.851	11.788	11.725	0.064
5.854	11.773	11.707	0.065
5.858	11.755	11.688	0.067
5.861	11.735	11.667	0.067
5.865	11.712	11.645	0.068
5.868	11.688	11.620	0.067
5.872	11.661	11.594	0.067
5.875	11.633	11.567	0.066
5.878	11.602	11.536	0.066
5.882	11.569	11.501	0.068
5.885	11.534	11.463	0.072
5.889	11.497	11.422	0.075
5.892	11.458	11.379	0.079
5.896	11.416	11.333	0.083
5.899	11.372	11.286	0.086
5.903	11.325	11.236	0.088
5.906	11.274	11.185	0.090
5.910	11.221	11.131	0.090
5.913	11.165	11.076	0.089
5.917	11.104	11.018	0.086
5.920	11.040	10.957	0.083
5.924	10.972	10.892	0.080
5.927	10.901	10.825	0.076
5.931	10.826	10.754	0.071
5.934	10.747	10.681	0.066
5.938	10.666	10.606	0.060
5.941	10.583	10.529	0.054
5.944	10.498	10.449	0.049
5.948	10.412	10.367	0.045
5.951	10.327	10.283	0.044
5.955	10.242	10.197	0.044
5.958	10.158	10.109	0.049
5.962	10.077	10.029	0.047
5.965	9.998	9.958	0.040
5.969	9.924	9.891	0.032
5.972	9.852	9.828	0.024
5.976	9.785	9.767	0.018
5.979	9.721	9.709	0.013
5.983	9.661	9.652	0.009
5.986	9.605	9.597	0.008
5.990	9.551	9.543	0.008
5.993	9.501	9.490	0.010
5.997	9.453	9.439	0.014
6.000	9.407	9.388	0.018
6.003	9.362	9.340	0.022
6.007	9.319	9.293	0.026
6.010	9.276	9.248	0.029
6.014	9.235	9.203	0.031
6.017	9.193	9.160	0.033
6.021	9.153	9.118	0.035
6.024	9.112	9.077	0.036
6.028	9.073	9.036	0.036
6.031	9.033	8.996	0.037
6.035	8.994	8.957	0.037
6.038	8.956	8.919	0.037
6.042	8.918	8.881	0.036
6.045	8.880	8.845	0.036
6.049	8.843	8.808	0.035
6.052	8.807	8.773	0.034
6.056	8.772	8.738	0.033
6.059	8.737	8.704	0.033
6.063	8.703	8.670	0.032
6.066	8.669	8.637	0.032
6.069	8.637	8.605	0.032
6.073	8.604	8.573	0.032
6.076	8.573	8.541	0.032
6.080	8.542	8.510	0.032
6.083	8.511	8.479	0.033
6.087	8.481	8.449	0.033
6.090	8.452	8.419	0.033
6.094	8.423	8.390	0.033
6.097	8.395	8.362	0.033
6.101	8.367	8.334	0.033
6.104	8.339	8.306	0.033
6.108	8.312	8.279	0.033
6.111	8.285	8.253	0.033
6.115	8.259	8.226	0.033
6.118	8.233	8.200	0.033
6.122	8.208	8.175	0.033
6.125	8.182	8.149	0.033
6.128	8.158	8.125	0.033
6.132	8.133	8.100	0.033
6.135	8.109	8.076	0.033
6.139	8.085	8.052	0.033
6.142	8.061	8.029	0.033
6.146	8.038	8.005	0.033
6.149	8.015	7.982	0.033
6.153	7.993	7.960	0.033
6.156	7.970	7.938	0.033
6.160	7.948	7.915	0.033
6.163	7.926	7.894	0.033
6.167	7.905	7.872	0.033
6.170	7.883	7.851	0.033
6.174	7.862	7.830	0.033
6.177	7.841	7.809	0.033
6.181	7.821	7.788	0.033
6.184	7.800	7.768	0.033
6.188	7.780	7.748	0.033
6.191	7.760	7.728	0.033
6.194	7.741	7.708	0.033
6.198	7.721	7.688	0.033
6.201	7.701	7.669	0.033
6.205	7.682	7.650	0.033
6.208	7.663	7.631	0.033
6.212	7.644	7.612	0.032
6.215	7.626	7.593	0.032
6.219	7.607	7.575	0.032
6.222	7.589	7.557	0.032
6.226	7.570	7.539	0.031
6.229	7.552	7.521	0.031
6.233	7.534	7.504	0.031
6.236	7.517	7.486	0.030
6.240	7.499	7.469	0.030
6.243	7.482	7.452	0.030
6.247	7.465	7.435	0.030
6.250	7.449	7.419	0.030
6.253	7.433	7.402	0.030
6.257	7.417	7.387	0.030
6.260	7.401	7.371	0.030
6.264	7.386	7.356	0.031
6.267	7.372	7.341	0.031
6.271	7.357	7.326	0.031
6.274	7.343	7.311	0.032
6.278	7.328	7.297	0.032
6.281	7.314	7.283	0.032
6.285	7.301	7.269	0.032
6.288	7.287	7.255	0.032
6.292	7.273	7.241	0.032
6.295	7.259	7.229	0.030
6.299	7.245	7.217	0.028
6.302	7.231	7.206	0.024
6.306	7.217	7.196	0.020
6.309	7.203	7.187	0.016
6.313	7.190	7.177	0.012
6.316	7.177	7.169	0.009
6.319	7.166	7.161	0.005
6.323	7.156	7.153	0.003
6.326	7.148	7.146	0.003
6.330	7.142	7.139	0.003
6.333	7.139	7.132	0.007
6.337	7.138	7.130	0.008
6.340	7.140	7.133	0.008
6.344	7.146	7.139	0.007
6.347	7.155	7.147	0.008
6.351	7.166	7.157	0.009
6.354	7.181	7.170	0.011
6.358	7.197	7.184	0.013
6.361	7.216	7.200	0.015
6.365	7.235	7.218	0.018
6.368	7.256	7.237	0.019
6.372	7.277	7.257	0.020
6.375	7.298	7.279	0.019
6.378	7.317	7.297	0.020
6.382	7.336	7.311	0.025
6.385	7.352	7.323	0.029
6.389	7.367	7.333	0.033
6.392	7.379	7.342	0.037
6.396	7.390	7.351	0.039
6.399	7.399	7.358	0.040
6.403	7.406	7.365	0.040
6.406	7.412	7.372	0.040
6.410	7.416	7.378	0.038
6.413	7.420	7.383	0.037
6.417	7.423	7.388	0.035
6.420	7.427	7.394	0.032
6.424	7.430	7.401	0.029
6.427	7.434	7.407	0.027
6.431	7.438	7.414	0.024
6.434	7.443	7.421	0.022
6.438	7.449	7.428	0.021
6.441	7.455	7.435	0.020
6.444	7.462	7.443	0.020
6.448	7.470	7.450	0.019
6.451	7.478	7.458	0.020
6.455	7.486	7.466	0.020
6.458	7.494	7.473	0.021
6.462	7.503	7.481	0.022
6.465	7.511	7.488	0.023
6.469	7.520	7.495	0.024
6.472	7.528	7.503	0.025
6.476	7.536	7.510	0.026
6.479	7.544	7.517	0.027
6.483	7.551	7.524	0.027
6.486	7.559	7.531	0.028
6.490	7.566	7.538	0.028
6.493	7.573	7.545	0.028
6.497	7.579	7.552	0.027
6.500	7.586	7.559	0.027
6.503	7.592	7.567	0.024
6.507	7.598	7.577	0.021
6.510	7.604	7.588	0.017
6.514	7.611	7.599	0.012
6.517	7.617	7.611	0.007
6.521	7.625	7.623	0.002
6.524	7.633	7.636	0.003
6.528	7.643	7.649	0.006
6.531	7.654	7.663	0.009
6.535	7.668	7.677	0.009
6.538	7.684	7.692	0.008
6.542	7.702	7.707	0.005
6.545	7.724	7.729	0.005
6.549	7.749	7.758	0.009
6.552	7.778	7.792	0.015
6.556	7.810	7.830	0.020
6.559	7.847	7.871	0.024
6.563	7.887	7.916	0.028
6.566	7.932	7.963	0.031
6.569	7.980	8.012	0.032
6.573	8.031	8.064	0.033
6.576	8.086	8.118	0.032
6.580	8.144	8.174	0.030
6.583	8.206	8.232	0.027
6.587	8.270	8.291	0.021
6.590	8.337	8.350	0.013
6.594	8.406	8.410	0.004
6.597	8.477	8.471	0.006
6.601	8.549	8.533	0.016
6.604	8.621	8.595	0.026
6.608	8.694	8.659	0.035
6.611	8.766	8.725	0.041
6.615	8.837	8.791	0.046
6.618	8.905	8.858	0.047
6.622	8.971	8.926	0.045
6.625	9.033	8.996	0.038
6.628	9.091	9.054	0.038
6.632	9.144	9.099	0.045
6.635	9.191	9.138	0.054
6.639	9.233	9.171	0.062
6.642	9.269	9.199	0.070
6.646	9.299	9.224	0.075
6.649	9.324	9.245	0.079
6.653	9.344	9.263	0.081
6.656	9.358	9.278	0.080
6.660	9.368	9.290	0.078
6.663	9.374	9.300	0.074
6.667	9.376	9.307	0.069
6.670	9.374	9.311	0.063
6.674	9.370	9.312	0.059
6.677	9.364	9.310	0.054
6.681	9.355	9.305	0.050
6.684	9.345	9.298	0.046
6.688	9.332	9.290	0.043
6.691	9.319	9.278	0.040
6.694	9.304	9.265	0.038
6.698	9.288	9.250	0.037
6.701	9.270	9.234	0.037
6.705	9.252	9.215	0.037
6.708	9.233	9.195	0.039
6.712	9.214	9.176	0.038
6.715	9.193	9.159	0.034
6.719	9.173	9.143	0.030
6.722	9.152	9.127	0.025
6.726	9.131	9.111	0.021
6.729	9.111	9.094	0.016
6.733	9.090	9.078	0.013
6.736	9.071	9.061	0.010
6.740	9.052	9.044	0.008
6.743	9.034	9.026	0.008
6.747	9.018	9.009	0.009
6.750	9.003	8.990	0.013
6.753	8.990	8.977	0.013
6.757	8.979	8.969	0.009
6.760	8.970	8.964	0.005
6.764	8.963	8.962	0.001
6.767	8.958	8.962	0.003
6.771	8.956	8.963	0.007
6.774	8.956	8.966	0.010
6.778	8.959	8.970	0.011
6.781	8.964	8.976	0.012
6.785	8.971	8.982	0.011
6.788	8.981	8.990	0.009
6.792	8.993	8.999	0.006
6.795	9.007	9.008	0.002
6.799	9.023	9.019	0.004
6.802	9.040	9.030	0.010
6.806	9.059	9.042	0.018
6.809	9.080	9.054	0.025
6.813	9.100	9.068	0.033
6.816	9.121	9.082	0.039
6.819	9.141	9.096	0.045
6.823	9.160	9.111	0.048
6.826	9.177	9.127	0.050
6.830	9.192	9.143	0.048
6.833	9.203	9.160	0.043
6.837	9.211	9.168	0.043
6.840	9.214	9.167	0.048
6.844	9.213	9.160	0.053
6.847	9.207	9.149	0.059
6.851	9.196	9.134	0.063
6.854	9.181	9.115	0.066
6.858	9.161	9.094	0.067
6.861	9.137	9.070	0.067
6.865	9.110	9.044	0.066
6.868	9.079	9.015	0.064
6.872	9.046	8.985	0.061
6.875	9.010	8.952	0.058
6.878	8.973	8.919	0.054
6.882	8.935	8.887	0.047
6.885	8.896	8.855	0.041
6.889	8.857	8.822	0.034
6.892	8.818	8.789	0.029
6.896	8.779	8.755	0.024
6.899	8.740	8.720	0.020
6.903	8.702	8.684	0.017
6.906	8.664	8.648	0.016
6.910	8.627	8.611	0.016
6.913	8.591	8.573	0.018
6.917	8.555	8.535	0.021
6.920	8.521	8.498	0.022
6.924	8.487	8.465	0.022
6.927	8.454	8.432	0.022
6.931	8.422	8.401	0.021
6.934	8.390	8.370	0.020
6.938	8.360	8.340	0.020
6.941	8.330	8.310	0.020
6.944	8.301	8.280	0.020
6.948	8.272	8.251	0.021
6.951	8.243	8.222	0.021
6.955	8.215	8.193	0.022
6.958	8.187	8.165	0.022
6.962	8.159	8.136	0.023
6.965	8.131	8.108	0.023
6.969	8.102	8.079	0.023
6.972	8.074	8.051	0.023
6.976	8.045	8.022	0.023
6.979	8.016	7.994	0.023
6.983	7.988	7.965	0.022
6.986	7.959	7.937	0.022
6.990	7.930	7.908	0.021
6.993	7.901	7.880	0.021
6.997	7.873	7.851	0.021
7.000	7.845	7.823	0.022
7.003	7.817	7.796	0.021
7.007	7.790	7.770	0.020
7.010	7.763	7.744	0.019
7.014	7.737	7.720	0.018
7.017	7.712	7.695	0.017
7.021	7.687	7.672	0.016
7.024	7.663	7.648	0.015
7.028	7.640	7.625	0.015
7.031	7.617	7.602	0.015
7.035	7.595	7.580	0.015
7.038	7.573	7.558	0.016
7.042	7.552	7.536	0.016
7.045	7.531	7.515	0.017
7.049	7.511	7.494	0.017
7.052	7.490	7.473	0.017
7.056	7.471	7.453	0.017
7.059	7.451	7.434	0.017
7.063	7.432	7.414	0.017
7.066	7.413	7.395	0.017
7.069	7.394	7.377	0.017
7.073	7.375	7.358	0.017
7.076	7.357	7.340	0.017
7.080	7.339	7.322	0.017
7.083	7.321	7.304	0.017
7.087	7.303	7.286	0.017
7.090	7.286	7.269	0.017
7.094	7.269	7.252	0.017
7.097	7.252	7.236	0.017
7.101	7.236	7.219	0.017
7.104	7.219	7.203	0.017
7.108	7.203	7.187	0.016
7.111	7.187	7.171	0.016
7.115	7.172	7.155	0.016
7.118	7.156	7.140	0.016
7.122	7.141	7.125	0.016
7.125	7.126	7.109	0.016
7.128	7.111	7.094	0.016
7.132	7.096	7.080	0.016
7.135	7.081	7.065	0.016
7.139	7.067	7.051	0.016
7.142	7.052	7.036	0.016
7.146	7.038	7.022	0.016
7.149	7.024	7.008	0.016
7.153	7.010	6.994	0.016
7.156	6.996	6.980	0.016
7.160	6.982	6.966	0.016
7.163	6.969	6.953	0.016
7.167	6.955	6.939	0.016
7.170	6.942	6.926	0.016
7.174	6.929	6.913	0.016
7.177	6.915	6.900	0.016
7.181	6.902	6.887	0.016
7.184	6.889	6.874	0.015
7.188	6.877	6.861	0.015
7.191	6.864	6.849	0.015
7.194	6.851	6.836	0.015
7.198	6.839	6.823	0.015
7.201	6.826	6.811	0.015
7.205	6.814	6.799	0.015
7.208	6.802	6.787	0.015
7.212	6.789	6.775	0.015
7.215	6.777	6.763	0.015
7.219	6.765	6.751	0.015
7.222	6.753	6.739	0.015
7.226	6.742	6.727	0.015
7.229	6.730	6.715	0.015
7.233	6.718	6.704	0.015
7.236	6.707	6.692	0.014
7.240	6.695	6.681	0.014
7.243	6.684	6.669	0.014
7.247	6.672	6.658	0.014
7.250	6.661	6.647	0.014
7.253	6.650	6.636	0.014
7.257	6.639	6.625	0.014
7.260	6.628	6.614	0.014
7.264	6.617	6.603	0.013
7.267	6.606	6.593	0.013
7.271	6.595	6.582	0.013
7.274	6.584	6.572	0.013
7.278	6.574	6.561	0.013
7.281	6.563	6.551	0.012
7.285	6.553	6.541	0.012
7.288	6.543	6.531	0.012
7.292	6.533	6.521	0.012
7.295	6.523	6.511	0.012
7.299	6.514	6.502	0.011
7.302	6.504	6.493	0.011
7.306	6.495	6.485	0.010
7.309	6.486	6.477	0.009
7.313	6.477	6.469	0.009
7.316	6.469	6.461	0.008
7.319	6.461	6.453	0.007
7.323	6.453	6.446	0.007
7.326	6.446	6.439	0.007
7.330	6.439	6.432	0.007
7.333	6.432	6.425	0.008
7.337	6.426	6.419	0.008
7.340	6.421	6.413	0.007
7.344	6.416	6.409	0.007
